"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/10/31 10:39:20 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 10:57:53 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","NV-Charts;Elektronische Seekarten des Plotterherstellers;Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Tiefenangaben ","Verlässliche Tiefenangaben"
"2025/10/31 11:16:12 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","C-Map;NV-Charts","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Die Karten sollten kein Ablaufdatum haben",""
"2025/10/31 11:24:01 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Herstellersupport;Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 11:37:30 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Preis","Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics);C-Map","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 11:46:43 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Lizenzregeln","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 11:57:07 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Könnte auch teurer sein","Ist zu teuer","Garmin / Boating (Navionics);Raymarine;Freie Seekarten","Tiefenangaben;Tiefenlinien","2D-Tiefenkontur","Ich habe keine Meinung dazu","nein"
"2025/11/01 12:07:36 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates","Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts","Seegebiete;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 12:40:42 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","? für alle Punkte gibt es gute und schlechte Beispiele","siehe Vorfrage","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts;Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Stabilität, sinnige Zoomstufen","nein"
"2025/11/01 1:49:50 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 2:55:47 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Freie Seekarten;orca","Tiefenlinien;Seezeichen;Gefahrenstellen","2D-Tiefenkontur;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 3:24:08 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;monatlich aktualisierte Karten für mein iPad.","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Preis;Lizenzregeln","nichts","Ein Mal im Jahr","nein","ja","Ist angemessen","Ist angemessen","C-Map;NV-Charts;Navionics","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur","ich möchte über die Aktualität der Karte informiert sein.","Ich möchte mich nicht auf die Arbeit von vier Nerds verlassen."
"2025/11/01 4:23:06 AM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Herstellersupport;Preis","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;O-Charts;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Übersichtlichkeit in allen Zoomstufen","nein"
"2025/11/01 5:54:34 AM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann;Für avnav","Funktionalität","nix","Jedes halbe Jahr","ja","ja","Ist angemessen","Ist zu teuer","O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 6:57:12 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist angemessen","Ist zu teuer","O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/11/01 7:01:26 AM MEZ","Gelegentlich","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Regelmäßige Updates","Preis","Sporadisch nach Bedarf","nein","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Hafeninformationen;Tiefenangaben;Seezeichen","2D-Tiefenkontur","Ich habe keine Meinung dazu","nein"
"2025/11/01 7:32:55 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Funktionalität","Auswahl Farbpalette: Navionics z.B. sehr übel, C-Map sehr sehr gut","Ein Mal im Jahr","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);C-Map;das alte iSailor... eine wirklich gute App.","Seegebiete;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen","Wichtig ist mir, dass man keinen Augenkrebs bekommt, wenn man auf den Monitor schaut. Schlau ist, wer in dieser Hinsicht mit einem Designer zusammen arbeitet!","Viel Glück, Erfolg und ein gutes Händchen!"
"2025/11/01 7:36:43 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten;Trackaufzeichnung","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Könnte auch teurer sein","Ist angemessen","NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen;Tankstellen, elektrische Lademöglichkeiten","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Schutz der bisherigen Funktion bei Updates","nein"
"2025/11/01 7:41:37 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Layout der Karten;Funktionalität;Updatezwang","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers;Freie Seekarten","Tiefenangaben;Tiefenlinien;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen;Sperrgebiete","Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität aber auch Eigentum am einmal gekauften Stand","nein"
"2025/11/01 7:52:33 AM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann;Online nur für Törnplanung","Layout der Karten;Funktionalität;Regelmäßige Updates","Layout der Karten;Lizenzregeln","Überhaupt nicht","ja","ja","Ist angemessen","Ist angemessen","NV-Charts;iSailor (hatte ich jedenfalls mal, das Bedienkonzept fand ich gut)","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen;Landgebiete zur Orientierung (bei iSailor ist das zB zu wenig)","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Klares Kartenbild, passende Symbolgrössen, Skaliert gut, Leuchtfeuersektoren gut erkennbar","nein"
"2025/11/01 8:22:32 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates;Abhängig vom Anbieter , hier Kartenwerft","Updatezwang;Preis;Lizenzregeln;Preis bezüglich des Kartenschnittes","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics);Navionics(alt) und jetzt ""Kartenwerft""","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen;Achtung!  betrifft bei uns eh nur Ostsee, sonst mit Tieden","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Überfrachtete Angaben sollte man dauerhaft ausblenden können.","Es ist schön das ihr so ein aufwendiges Projekt ins Auge fasst."
"2025/11/01 8:22:59 AM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln;Warnhinweis : Nicht zur Navigation geeignet!","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","C-Map;TZ iBoat , iNavX, ","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen;UKW Verkehrskanäle","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Zuverlässig, aktuell ","Ich nutze elektronische Seekarten ausschließlich auf dem Plotter (B & G) und auf den Apple Geräten."
"2025/11/01 8:29:41 AM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Herstellersupport;Preis","Sporadisch nach Bedarf","ja","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
